lang	title	timestamp
szl	Przodńo_zajta	2008-03-31
sc	Pàgina_printzipale	2016-11-15
csb	Przédnô_starna	2004-04-01
vep	Pälehtpol’	2008-02-19
lrc	سأرآسوٙنە	2014-05-24
km	ទំព័រដើម	2002-06-03
crh	Baş_Saife	2006-09-20
gv	Ard-ghuillag	2003-09-20
kv	Медшӧр_лист_бок	2006-01-08
frr	Wikipedia:Hoodsid	2006-11-04
zh-classical	維基大典:卷首	2006-07-31
as	বেটুপাত	2006-09-23
so	Bogga_Hore	2007-05-05
zea	Vòblad	2006-09-30
cdo	Tàu_Hiĕk	2006-09-30
lad	La_Primera_Hoja	2005-09-25
ay	Nayriri_uñstawi	2003-12-01
stq	Haudsiede	2005-03-06
udm	Кутскон_бам	2005-10-24
kw	Folen_dre	2012-05-10
nrm	Page_dé_garde	2006-04-17
ie	Principal_págine	2004-08-06
koi	Пондӧтчан_листбок	2009-04-17
ace	Ôn_Keuë	2008-04-13
rm	Wikipedia:Pagina_principala	2003-12-26
pcd	Accueul	2007-05-05
myv	Прявтлопа	2007-07-29
lij	Pagina_prinçipâ	2006-04-10
mt	Il-Paġna_prinċipali	2004-07-26
fur	Pagjine_principâl	2005-01-25
gn	Ape	2005-11-13
dsb	Głowny_bok	2005-10-08
dv	މައި_ޞަފްޙާ	2007-02-13
cbk-zam	El_Primero_Pagina	2006-10-13
lez	Кьилин_ччин	2007-10-19
ext	Página_prencipal	2007-02-06
ug	ئۇيغۇرچە_ۋىكىپىدىيە	2003-12-17
kab	Asebtar_amenzu	2007-05-06
ang	Hēafodtramet	2005-09-13
ksh	Wikipedia:Houpsigk	2007-04-10
mwl	Páigina_Percipal	2008-02-15
ln	Lokásá_ya_libosó	2005-10-10
gag	Baş_yaprak	2007-12-06
sn	Peji_Rekutanga	2004-03-09
frp	Vouiquipèdia:Reçua_principâla	2006-03-24
gom	मुखेल_पान	2006-08-27
pag	Arapan_ya_Bolong	2006-09-30
pi	पमुख_पत्त_Pamukha_patta	2006-12-14
nv	Íiyisíí_Naaltsoos	2004-08-28
av	БетӀераб_гьумер	2005-12-24
pfl	Wikipedia:Haubdsaid	2009-03-26
xal	Нүр_халх	2010-05-02
krc	Баш_бет	2007-03-23
haw	Ka_papa_kinohi	2004-09-22
kaa	Bas_bet	2008-06-10
bxr	Нюур_хуудаһан	2006-03-30
rw	Intangiriro	2002-06-03
pdc	Haaptblatt	2006-11-01
to	Peesi_tali_fiefia	2004-01-15
nov	Chefi_pagine	2006-01-13
kl	Saqqaa	2003-12-26
pap	Página_Prinsipal	2006-03-24
lo	ໜ້າຫຼັກ	2003-07-19
arc	ܦܐܬܐ_ܪܝܫܝܬܐ	2004-07-28
bjn	Tungkaran_Tatambaian	2008-11-24
olo	Piäsivu	2015-01-19
kbd	НапэкӀуэцӀ_нэхъыщхьэ	2006-10-18
jam	Mien_Piej	2008-12-02
ha	Main_Page	2002-06-03
tet	Pájina_Mahuluk	2006-03-24
tyv	Кол_арын	2006-05-11
ki	Main_Page	2004-08-08
tpi	Fran_pes	2016-11-15
ig	Ihü_Mbu	2004-08-28
na	Bwiema_peij	2003-12-10
lbe	Агьаммур_лажин	2006-09-30
roa-rup	Prota_frãndzã	2005-05-04
jbo	uikipedi'as:ralju	2004-08-08
ty	Fa’ari’ira’a	2005-10-24
kg	Mukânda_ya_ngudi	2004-08-28
za	Yiebdaeuz	2004-07-29
mdf	Пря_лопа	2007-09-28
lg	Olupapula_Olusooka	2006-11-07
wo	Xët_wu_njëkk	2010-01-18
srn	Fesipapira	2007-10-14
ab	Ихадоу_адаҟьа	2006-09-11
ltg	Suoku_puslopa	2006-09-15
chr	ᎤᎵᎮᎵᏍᏗ	2004-05-26
zu	Ikhasi_Elikhulu	2003-11-30
sm	Itūlau_Muamua	2004-03-09
om	Fuula_Dura	2007-05-26
bi	Nambawan_Pej	2003-07-22
tcy	ಮುಖ್ಯ_ಪುಟ	2007-11-05
tn	Main_Page	2004-03-24
chy	Va'ohtama	2004-09-22
cu	Главьна_страница	2006-09-30
rmy	Sherutni_patrin	2006-03-24
tw	Main_Page	2003-11-11
xh	Iphepha_Elingundoqo	2003-10-29
tum	Main_Page	2004-12-03
pih	Mien_Paij	2006-01-13
rn	Main_Page	2004-03-09
got	𐌰𐌽𐌰𐍃𐍄𐍉𐌳𐌴𐌹𐌽𐌹𐌻𐌰𐌿𐍆𐍃	2004-10-19
pnt	Αρχικόν_σελίδα	2008-04-18
ss	Likhasi_Lelikhulu	2004-01-27
ch	Fanhaluman	2004-07-29
bm	Nyɛ_fɔlɔ	2004-08-28
ady	НэкӀубгъо_шъхьаӀ	2008-04-27
mo	Паӂина_принчипалэ	2004-01-28
ts	Tlukankulu	2004-03-19
ny	Tsamba_Lalikulu	2004-08-29
iu	ᐊᒥᖅ	2003-07-26
st	Leqephe_la_pele	2003-09-18
fj	Tabana_levu	2002-06-03
ee	Axa_do_Ŋgɔ	2004-07-26
ak	Krataafa_Titiriw	2004-08-02
ks	اہم_صَفہٕ	2003-07-26
ik	Makpiġaaq_Kanna	2002-06-03
sg	Gä_nzönî	2011-10-21
ve	Hayani	2004-08-28
dz	མ་ཤོག།	2008-04-09
ff	Hello_jaɓɓorgo	2004-08-28
ti	መበገሲ_ገጽ	2004-02-29
cr	ᓃᔥᑕᒻᐹᔅᑌᒋᓂᑲᓐ	2004-08-28
ng	Hambili_Tarkerazu	2008-10-23
cho	Main_Page	2004-09-22
mh	Main_Page	2004-08-29
kj	Main_Page	2004-08-29
ho	Main_Page	2004-08-29
aa	Main_Page	2005-07-07
mus	Main_Page	2004-08-26
hz	Main_Page	2004-08-29
kr	Main_Page	2006-06-20
