ch_id,City,OtherName,Country,Latitude,Longitude,Certainty,n_obs
106,Badajoz,,Spain,38.87789,-6.97061,1,6
107,Badami,Vatapi,India,15.91495,75.67683,2,2
108,Baeza,,Spain,37.99384,-3.47103,1,6
109,Bagan,Pagan,Myanmar,21.172111,94.8602,1,4
110,Baghdad,Bagdad,Iraq,33.34058,44.40088,1,30
111,Bahawalpur,,Pakistan,29.3956,71.68333,1,1
112,Bakhchiserai,,Ukraine,44.755286,33.867233,1,8
113,Baku,,Azerbaijan,40.37767,49.89201,1,4
114,Balasaghun,"Balasaqun, Gobalik",Kyrgyzstan,42.379739,75.250456,2,6
115,Balkh,,Afghanistan,36.75635,66.8972,1,5
116,Ballarat,,Australia,-37.56622,143.84957,1,1
117,Baltimore,Maryland,United States of America,39.29038,-76.61219,1,9
118,Bamberg,,Germany,49.89873,10.90067,1,1
119,Banda,Uttar Pradesh,India,25.4833,80.3333,3,1
120,Bandar Seri Begawan,,Brunei,4.890283,114.942217,3,5
121,Bandung,,Indonesia,-6.914744,107.609814,3,2
122,Bangalore,,India,12.97194,77.59369,1,8
123,Bangkok,,Thailand,13.75398,100.50144,1,12
124,Bantam,Batu Besar,Indonesia,-6.405369,106.064081,1,2
125,Baoding,Paoting,China,38.873891,115.464806,2,1
126,Baotou,Paotow,China,40.65744,109.84054,1,1
127,Barcelona,,Spain,41.38879,2.15899,1,42
128,Bareilly,,India,28.34702,79.42193,1,7
129,Bari,,Italy,41.117142,16.871872,1,8
130,Barletta,,Italy,41.31183,16.29077,1,1
131,Barnaul,,Russian Federation,53.36056,83.76361,1,2
132,Barnsley,,United Kingdom,53.55,-1.48333,1,1
133,Barquisimeto,,Venezuela,10.07389,-69.32278,1,1
134,Barranquilla,,Colombia,10.96854,-74.78132,1,3
135,Barrow,Alaska,United States of America,71.29058,-156.78872,2,1
136,Basel,,Switzerland,47.5584,7.57327,1,2
137,Basra,Basrah,Iraq,30.5,47.816667,2,19
138,Bassein,Pathein,Myanmar,16.774168,94.731666,2,1
139,Bath,,United Kingdom,51.37795,-2.35907,1,6
140,Bauchi,Yakoba,Nigeria,10.315833,9.844167,3,2
141,Bay City,Michigan,United States of America,43.59505,-83.888639,2,1
142,Beijing,Peking,China,39.9075,116.39723,1,38
143,Beirut,,Lebanon,33.88894,35.49442,1,2
144,Bejaia,"Bougie, Béjaïa",Algeria,36.75,5.066667,2,11
145,Belem,"Belém, Para",Brazil,-1.455833,-48.503889,3,4
146,Belfast,,Ireland,54.597283,-5.930117,1,11
147,Belgaum,,India,15.85212,74.50447,1,1
148,Belgorod-Dnestrovskiy ,"Bilhorod-Dnistrovskyi, Akkerman",Ukraine,46.183333,30.333333,1,1
149,Belgrade,Beograd,Serbia,44.80401,20.46513,1,16
150,Bellary,,India,15.14575,76.91751,1,5
151,Belo Horizonte,,Brazil,-19.92083,-43.93778,1,2
152,Belur,,India,13.16558,75.86519,3,1
153,Bendery,Bender,Republic of Moldova,46.83056,29.47111,1,1
154,Bendigo,,Australia,-36.75818,144.28024,1,1
155,Benin,Oedo,Nigeria,6.339081,5.626483,2,11
156,Benxi,,China,41.28861,123.765,1,1
157,Berdychiv ,Berdichev,Ukraine,49.907903,28.587936,1,4
158,Bergamo,,Italy,45.69798,9.66895,1,12
159,Bergen,,Norway,60.391264,5.322053,1,8
160,Bergisch Gladbach,Gladbach,Germany,51.2,7.116667,3,2
161,Berlin,,Germany,52.52437,13.41053,1,13
162,Bern,,Switzerland,46.94809,7.44744,1,1
163,Bernburg ,Bernberg,Germany,51.797014,11.73421,2,1
164,Beruit,,Lebanon,33.888629,35.495479,1,1
165,Berwick-upon-Tweed,Berwick,United Kingdom,55.771,-2.007,3,1
166,Besancon,Besançon ,France,47.24878,6.01815,1,13
167,Beziers, Béziers,France,43.34762,3.21899,1,9
168,Bhagalpur,Boglipore,India,25.24446,86.97183,1,5
169,Bhaktapur,"Bhatgaon, Bhadgaon",Nepal,27.672222,85.427778,1,2
170,Bharatpur,Bhurtpore,India,27.21731,77.49009,3,6
171,Bhavnagar,,India,21.77446,72.1525,1,1
172,Bhimavaram ,Bhimavarman,India,16.54541,81.531578,1,3
173,Bhiwani,,India,28.79194,76.14108,1,1
174,Bhuj,,India,23.25397,69.66928,1,1
175,Bialystok,,Poland,53.13333,23.16433,1,1
176,Bida,,Nigeria,9.08333,6.01667,1,1
177,Bidar,,India,17.91331,77.5301,3,1
178,Bielefeld,,Germany,52.03333,8.53333,1,1
179,Bihar,"Udantapura, Odantapuri",India,25.096074,85.313119,3,6
180,Bijapur,,India,16.82442,75.71537,1,9
181,Bikaner,,India,28.02094,73.30749,1,2
182,Bilbao,,Spain,43.26271,-2.92528,1,3
